subject,body,urls,label
Unusual Login Detected,Click the link below to immediately secure your account and confirm your identity within 24 hours. We detected unusual activity and require you to verify your recent transactions via the secure portal. You have been specially selected for an exclusive offer; click to finalize your acceptance. Claim your reward now by providing your details; limited slots are available and verification is required. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$136 at Subscription Service. http://malicious.example/7006 http://malicious.example/1768,2,1
Verify Your Identity Now,An important document requires your confirmation; access it through the link provided to avoid penalties. We detected unusual activity and require you to verify your recent transactions via the secure portal. Your payment could not be processed; update your billing information to avoid service interruption. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$239 at Unknown Merchant. http://malicious.example/9977,1,1
Report Attached,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Holiday Schedule,Please see the attached document and review the proposed changes before the end of the week. This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies.,0,0
Security Alert: Account Compromised,"An important document requires your confirmation; access it through the link provided to avoid penalties. To receive your package or prize, provide confirmation with valid personal details on the linked form. Your payment could not be processed; update your billing information to avoid service interruption. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$225 at Online Store. http://malicious.example/6782 http://malicious.example/4409",2,1
Verify Billing Information,We detected unusual activity and require you to verify your recent transactions via the secure portal. An important document requires your confirmation; access it through the link provided to avoid penalties. We detected unusual activity and require you to verify your recent transactions via the secure portal. Security alert: please reset your credentials immediately to prevent data exposure. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$289 at Subscription Service. http://malicious.example/3807 http://malicious.example/3393,2,1
Monthly Newsletter,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please check the attached files for more details and add your comments to the shared document by EOD.",1,0
Claim Your Gift Card,Claim your reward now by providing your details; limited slots are available and verification is required. Failure to respond within the specified timeframe may result in temporary suspension of your account. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3411 http://malicious.example/8371,2,1
Unusual Login Detected,We detected unusual activity and require you to verify your recent transactions via the secure portal. Unauthorized login attempts were detected; verify your identity to prevent further access. An important document requires your confirmation; access it through the link provided to avoid penalties. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/6267,1,1
Security Alert: Account Compromised,"An important document requires your confirmation; access it through the link provided to avoid penalties. Security alert: please reset your credentials immediately to prevent data exposure. Failure to respond within the specified timeframe may result in temporary suspension of your account. Security alert: please reset your credentials immediately to prevent data exposure. We detected unusual activity and require you to verify your recent transactions via the secure portal. To receive your package or prize, provide confirmation with valid personal details on the linked form. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$417 at Online Store. http://malicious.example/7847",1,1
Holiday Schedule,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please see the attached document and review the proposed changes before the end of the week. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
You Won a Prize!,Unauthorized login attempts were detected; verify your identity to prevent further access. You have been specially selected for an exclusive offer; click to finalize your acceptance. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8396 http://malicious.example/7038 http://malicious.example/7933,3,1
Exclusive Offer: Limited Time Reward,Your payment could not be processed; update your billing information to avoid service interruption. Claim your reward now by providing your details; limited slots are available and verification is required. Security alert: please reset your credentials immediately to prevent data exposure. Failure to respond within the specified timeframe may result in temporary suspension of your account. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$252 at Unknown Merchant. http://malicious.example/7028,1,1
Verify Your Identity Now,"Click the link below to immediately secure your account and confirm your identity within 24 hours. To receive your package or prize, provide confirmation with valid personal details on the linked form. To receive your package or prize, provide confirmation with valid personal details on the linked form. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3039 http://malicious.example/9556 http://malicious.example/9009",3,1
Training Session Invitation,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Claim Your Gift Card,"Click the link below to immediately secure your account and confirm your identity within 24 hours. To receive your package or prize, provide confirmation with valid personal details on the linked form. Your payment could not be processed; update your billing information to avoid service interruption. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3481",1,1
Client Call Reminder,We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Please check the attached files for more details and add your comments to the shared document by EOD.,0,0
Client Call Reminder,Please see the attached document and review the proposed changes before the end of the week. Please see the attached document and review the proposed changes before the end of the week. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please check the attached files for more details and add your comments to the shared document by EOD.,1,0
Monthly Newsletter,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Action Required: Account Suspended,Click the link below to immediately secure your account and confirm your identity within 24 hours. You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4102,1,1
Team Meeting Tomorrow,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. This message contains important information about the upcoming schedule and deliverables for our project. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. This message contains important information about the upcoming schedule and deliverables for our project. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Office Maintenance Notice,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Immediate Action Required: Account Suspension,Your payment could not be processed; update your billing information to avoid service interruption. We detected unusual activity and require you to verify your recent transactions via the secure portal. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8908,1,1
Team Meeting Tomorrow,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please check the attached files for more details and add your comments to the shared document by EOD.",1,0
Policy Update Notification,"We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Action Required: Account Suspended,"Click the link below to immediately secure your account and confirm your identity within 24 hours. To receive your package or prize, provide confirmation with valid personal details on the linked form. We detected unusual activity and require you to verify your recent transactions via the secure portal. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/6789 http://malicious.example/9854",2,1
Urgent: Update Your Password,Click the link below to immediately secure your account and confirm your identity within 24 hours. You have been specially selected for an exclusive offer; click to finalize your acceptance. An important document requires your confirmation; access it through the link provided to avoid penalties. Security alert: please reset your credentials immediately to prevent data exposure. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/9517,1,1
Finalize Your Payment Details,Click the link below to immediately secure your account and confirm your identity within 24 hours. Click the link below to immediately secure your account and confirm your identity within 24 hours. Failure to respond within the specified timeframe may result in temporary suspension of your account. Security alert: please reset your credentials immediately to prevent data exposure. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$256 at Online Store. http://malicious.example/1924 http://malicious.example/7411 http://malicious.example/7226,3,1
Lunch Invitation,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Unusual Login Detected,Click the link below to immediately secure your account and confirm your identity within 24 hours. You have been specially selected for an exclusive offer; click to finalize your acceptance. Click the link below to immediately secure your account and confirm your identity within 24 hours. An important document requires your confirmation; access it through the link provided to avoid penalties. Unauthorized login attempts were detected; verify your identity to prevent further access. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2044 http://malicious.example/6806,2,1
Unauthorized Access Attempt Detected,"Failure to respond within the specified timeframe may result in temporary suspension of your account. We detected unusual activity and require you to verify your recent transactions via the secure portal. An important document requires your confirmation; access it through the link provided to avoid penalties. You have been specially selected for an exclusive offer; click to finalize your acceptance. To receive your package or prize, provide confirmation with valid personal details on the linked form. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2038",1,1
Urgent: Update Your Password,Click the link below to immediately secure your account and confirm your identity within 24 hours. An important document requires your confirmation; access it through the link provided to avoid penalties. You have been specially selected for an exclusive offer; click to finalize your acceptance. An important document requires your confirmation; access it through the link provided to avoid penalties. Your payment could not be processed; update your billing information to avoid service interruption. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2540 http://malicious.example/8449,2,1
Project Update,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. This message contains important information about the upcoming schedule and deliverables for our project. This message contains important information about the upcoming schedule and deliverables for our project. The marketing team has compiled the latest campaign metrics and insights which are included below for your review.",0,0
Verify Your Identity Now,Failure to respond within the specified timeframe may result in temporary suspension of your account. Click the link below to immediately secure your account and confirm your identity within 24 hours. Your payment could not be processed; update your billing information to avoid service interruption. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/5315,1,1
Claim Your Gift Card,"We detected unusual activity and require you to verify your recent transactions via the secure portal. Your payment could not be processed; update your billing information to avoid service interruption. You have been specially selected for an exclusive offer; click to finalize your acceptance. To receive your package or prize, provide confirmation with valid personal details on the linked form. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/1662 http://malicious.example/4309",2,1
Project Update,"If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project.",1,0
Lunch Invitation,Please see the attached document and review the proposed changes before the end of the week. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Please check the attached files for more details and add your comments to the shared document by EOD.,0,0
Invoice Details,"If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please see the attached document and review the proposed changes before the end of the week. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Unauthorized Access Attempt Detected,Claim your reward now by providing your details; limited slots are available and verification is required. You have been specially selected for an exclusive offer; click to finalize your acceptance. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2714 http://malicious.example/5493,2,1
Lunch Invitation,Please see the attached document and review the proposed changes before the end of the week. This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please check the attached files for more details and add your comments to the shared document by EOD.,0,0
Policy Update Notification,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Weekly Report,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. This message contains important information about the upcoming schedule and deliverables for our project. Please see the attached document and review the proposed changes before the end of the week. Please see the attached document and review the proposed changes before the end of the week. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Office Maintenance Notice,Please see the attached document and review the proposed changes before the end of the week. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. This message contains important information about the upcoming schedule and deliverables for our project. The marketing team has compiled the latest campaign metrics and insights which are included below for your review.,0,0
Action Required: Account Suspended,Your payment could not be processed; update your billing information to avoid service interruption. You have been specially selected for an exclusive offer; click to finalize your acceptance. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/7904,1,1
Project Update,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. This message contains important information about the upcoming schedule and deliverables for our project. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The vendor provided the requested materials and timelines; please comment if there are any discrepancies.",1,0
Finalize Your Payment Details,We detected unusual activity and require you to verify your recent transactions via the secure portal. Your payment could not be processed; update your billing information to avoid service interruption. You have been specially selected for an exclusive offer; click to finalize your acceptance. You have been specially selected for an exclusive offer; click to finalize your acceptance. Claim your reward now by providing your details; limited slots are available and verification is required. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8243,1,1
Verify Billing Information,"Security alert: please reset your credentials immediately to prevent data exposure. To receive your package or prize, provide confirmation with valid personal details on the linked form. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/6656 http://malicious.example/3100",2,1
Reset Your Password Immediately,"Unauthorized login attempts were detected; verify your identity to prevent further access. Failure to respond within the specified timeframe may result in temporary suspension of your account. Unauthorized login attempts were detected; verify your identity to prevent further access. To receive your package or prize, provide confirmation with valid personal details on the linked form. Security alert: please reset your credentials immediately to prevent data exposure. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$371 at Unknown Merchant. http://malicious.example/6261 http://malicious.example/4349",2,1
Unusual Login Detected,"Failure to respond within the specified timeframe may result in temporary suspension of your account. To receive your package or prize, provide confirmation with valid personal details on the linked form. Your payment could not be processed; update your billing information to avoid service interruption. Your payment could not be processed; update your billing information to avoid service interruption. Unauthorized login attempts were detected; verify your identity to prevent further access. Your payment could not be processed; update your billing information to avoid service interruption. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/9416 http://malicious.example/4263",2,1
Confirm Your Email,"Security alert: please reset your credentials immediately to prevent data exposure. You have been specially selected for an exclusive offer; click to finalize your acceptance. To receive your package or prize, provide confirmation with valid personal details on the linked form. Your payment could not be processed; update your billing information to avoid service interruption. An important document requires your confirmation; access it through the link provided to avoid penalties. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3033 http://malicious.example/1874",2,1
Lunch Invitation,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",1,0
Office Maintenance Notice,We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Please see the attached document and review the proposed changes before the end of the week. This message contains important information about the upcoming schedule and deliverables for our project. This message contains important information about the upcoming schedule and deliverables for our project.,0,0
Reset Your Password Immediately,Failure to respond within the specified timeframe may result in temporary suspension of your account. We detected unusual activity and require you to verify your recent transactions via the secure portal. Click the link below to immediately secure your account and confirm your identity within 24 hours. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4577 http://malicious.example/1688,2,1
Lunch Invitation,"This message contains important information about the upcoming schedule and deliverables for our project. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing.",0,0
You Won a Prize!,We detected unusual activity and require you to verify your recent transactions via the secure portal. Claim your reward now by providing your details; limited slots are available and verification is required. Your payment could not be processed; update your billing information to avoid service interruption. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4496,1,1
Lunch Invitation,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please see the attached document and review the proposed changes before the end of the week. This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Finalize Your Payment Details,"Failure to respond within the specified timeframe may result in temporary suspension of your account. To receive your package or prize, provide confirmation with valid personal details on the linked form. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/6918 http://malicious.example/8304",2,1
Performance Summary,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. This message contains important information about the upcoming schedule and deliverables for our project. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Payment Failed,Failure to respond within the specified timeframe may result in temporary suspension of your account. Click the link below to immediately secure your account and confirm your identity within 24 hours. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$476 at Unknown Merchant. http://malicious.example/6916,1,1
Report Attached,"We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing.",0,0
Weekly Report,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Please see the attached document and review the proposed changes before the end of the week. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Project Update,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Client Call Reminder,"Please see the attached document and review the proposed changes before the end of the week. This message contains important information about the upcoming schedule and deliverables for our project. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Weekly Report,"We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project.",1,0
Verify Billing Information,You have been specially selected for an exclusive offer; click to finalize your acceptance. Unauthorized login attempts were detected; verify your identity to prevent further access. Your payment could not be processed; update your billing information to avoid service interruption. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/7852,1,1
Office Maintenance Notice,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Monthly Newsletter,"This message contains important information about the upcoming schedule and deliverables for our project. This message contains important information about the upcoming schedule and deliverables for our project. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
You Won a Prize!,"Your payment could not be processed; update your billing information to avoid service interruption. You have been specially selected for an exclusive offer; click to finalize your acceptance. To receive your package or prize, provide confirmation with valid personal details on the linked form. To receive your package or prize, provide confirmation with valid personal details on the linked form. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/7492 http://malicious.example/4525 http://malicious.example/8407",3,1
Project Update,"This message contains important information about the upcoming schedule and deliverables for our project. Please see the attached document and review the proposed changes before the end of the week. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Claim Your Gift Card,An important document requires your confirmation; access it through the link provided to avoid penalties. Click the link below to immediately secure your account and confirm your identity within 24 hours. Your payment could not be processed; update your billing information to avoid service interruption. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$273 at Online Store. http://malicious.example/4587 http://malicious.example/5019,2,1
Project Milestones Update,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. Please see the attached document and review the proposed changes before the end of the week. Please see the attached document and review the proposed changes before the end of the week.",1,0
Client Feedback Summary,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. This message contains important information about the upcoming schedule and deliverables for our project. Please see the attached document and review the proposed changes before the end of the week. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. This message contains important information about the upcoming schedule and deliverables for our project. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Performance Summary,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. Please see the attached document and review the proposed changes before the end of the week. This message contains important information about the upcoming schedule and deliverables for our project. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
